display  D   display_settings.c:400  _al_score_display_settings       [   0.21664] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.21673] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.21683] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.21691] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.21698] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.21711] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.21723] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.21732] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.21743] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.21752] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.21761] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.21768] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.21778] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.21787] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.21796] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.21804] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.21810] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   0.21819] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.21828] Score is : 587
display  D   display_settings.c:214  debug_display_settings           [   0.21835] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.21842] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.21850] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.21856] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.21864] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.21872] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.21880] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.21889] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.21897] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.21906] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   0.21913] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.21922] Score is : 587
display  D   display_settings.c:214  debug_display_settings           [   0.21930] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.21937] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.21946] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.21955] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.21964] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.21973] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.21981] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.21989] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.21994] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.22003] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   0.22018] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.22034] Score is : 587
display  D   display_settings.c:214  debug_display_settings           [   0.22044] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.22057] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.22066] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.22079] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.22093] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.22106] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.22116] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.22124] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.22145] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.22171] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   0.22185] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.22199] Score is : 587
